,Type,Date,Num,Source Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Name Contact,Name Phone #,Name Fax #,Name E-Mail,Memo,Name,Terms,total Quantity,Item,Class,Qty,Sales Price,Amount,Balance,State,Ship To Address 1,Ship To Address 2,Ship To State,Ship Zip,Notes,Last Name,First Name
,Invoice,02/06/2020,69263,Tamara Andersen,"353 Laura Rapids, Garyton, ND 06610",353 Laura Rapids,,Garyton,ND,06610,,(659)618-6206,,julieross@gmail.com,Generated Invoice,Tamara Andersen,Credit Card,,Let,General,5,29.68,148.4,148.4,Latest,,,,,,Andersen,Tamara
,Invoice,11/16/2021,54662,Tamara Andersen,"353 Laura Rapids, Garyton, ND 06610",353 Laura Rapids,,Garyton,ND,06610,,(659)618-6206,,julieross@gmail.com,Generated Invoice,Tamara Andersen,Credit Card,,Billion,General,4,42.07,168.28,168.28,Latest,,,,,,Andersen,Tamara
,Invoice,08/06/2021,78282,Tamara Andersen,"353 Laura Rapids, Garyton, ND 06610",353 Laura Rapids,,Garyton,ND,06610,,(659)618-6206,,julieross@gmail.com,Generated Invoice,Tamara Andersen,Credit Card,,Attention,General,1,13.09,13.09,13.09,Latest,,,,,,Andersen,Tamara
Total Tamara Andersen,,,,,,,,,,,,,,,,,,,3,,329.77,329.77,,,,,,,,,,
Timothy Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,05/02/2015,78067,Timothy Sanders,"27281 Bowman Port, Lake Mary, AK 67997",27281 Bowman Port,,Lake Mary,AK,67997,,515-266-3521,,cjohnson@yahoo.com,Generated Invoice,Timothy Sanders,Credit Card,,Measure,General,1,13.56,13.56,13.56,Latest,,,,,,Sanders,Timothy
,Invoice,02/13/2017,36480,Timothy Sanders,"27281 Bowman Port, Lake Mary, AK 67997",27281 Bowman Port,,Lake Mary,AK,67997,,515-266-3521,,cjohnson@yahoo.com,Generated Invoice,Timothy Sanders,Credit Card,,Study,General,3,22.76,68.28,68.28,Latest,,,,,,Sanders,Timothy
,Invoice,01/14/2021,16396,Timothy Sanders,"27281 Bowman Port, Lake Mary, AK 67997",27281 Bowman Port,,Lake Mary,AK,67997,,515-266-3521,,cjohnson@yahoo.com,Generated Invoice,Timothy Sanders,Credit Card,,Mother,General,4,41.63,166.52,166.52,Latest,,,,,,Sanders,Timothy
Total Timothy Sanders,,,,,,,,,,,,,,,,,,,3,,248.36,248.36,,,,,,,,,,
Robert Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,10/15/2021,73759,Robert Paul,"50128 Peter Stravenue, West Tarashire, KY 12234",50128 Peter Stravenue,,West Tarashire,KY,12234,,(757)821-0457x5133,,samuel01@wright-ferrell.com,Generated Invoice,Robert Paul,Credit Card,,Instead,General,5,21.47,107.35,107.35,Latest,,,,,,Paul,Robert
,Invoice,05/13/2019,78376,Robert Paul,"50128 Peter Stravenue, West Tarashire, KY 12234",50128 Peter Stravenue,,West Tarashire,KY,12234,,(757)821-0457x5133,,samuel01@wright-ferrell.com,Generated Invoice,Robert Paul,Credit Card,,Listen,General,1,32.31,32.31,32.31,Latest,,,,,,Paul,Robert
,Invoice,01/15/2023,81732,Robert Paul,"50128 Peter Stravenue, West Tarashire, KY 12234",50128 Peter Stravenue,,West Tarashire,KY,12234,,(757)821-0457x5133,,samuel01@wright-ferrell.com,Generated Invoice,Robert Paul,Credit Card,,Base,General,1,27.19,27.19,27.19,Latest,,,,,,Paul,Robert
Total Robert Paul,,,,,,,,,,,,,,,,,,,3,,166.85,166.85,,,,,,,,,,
Tracey Osborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/05/2015,71366,Tracey Osborne,"8424 Stephanie Mews Suite 100, South Wayneshire, NM 84943",8424 Stephanie Mews Suite 100,,South Wayneshire,NM,84943,,964.440.8199,,keith67@gmail.com,Generated Invoice,Tracey Osborne,Credit Card,,Reveal,General,1,30.62,30.62,30.62,Latest,,,,,,Osborne,Tracey
,Invoice,04/30/2024,27946,Tracey Osborne,"8424 Stephanie Mews Suite 100, South Wayneshire, NM 84943",8424 Stephanie Mews Suite 100,,South Wayneshire,NM,84943,,964.440.8199,,keith67@gmail.com,Generated Invoice,Tracey Osborne,Credit Card,,Suddenly,General,4,17.57,70.28,70.28,Latest,,,,,,Osborne,Tracey
,Invoice,04/03/2017,55955,Tracey Osborne,"8424 Stephanie Mews Suite 100, South Wayneshire, NM 84943",8424 Stephanie Mews Suite 100,,South Wayneshire,NM,84943,,964.440.8199,,keith67@gmail.com,Generated Invoice,Tracey Osborne,Credit Card,,Wish,General,4,44.79,179.16,179.16,Latest,,,,,,Osborne,Tracey
Total Tracey Osborne,,,,,,,,,,,,,,,,,,,3,,280.06,280.06,,,,,,,,,,
Jeffrey Winters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/31/2020,90308,Jeffrey Winters,"10939 Stanley Trail, Port Joshuafurt, CO 27847",10939 Stanley Trail,,Port Joshuafurt,CO,27847,,(563)592-3754x51522,,adamsgregory@hotmail.com,Generated Invoice,Jeffrey Winters,Credit Card,,Loss,General,5,31.7,158.5,158.5,Latest,,,,,,Winters,Jeffrey
,Invoice,08/12/2015,36017,Jeffrey Winters,"10939 Stanley Trail, Port Joshuafurt, CO 27847",10939 Stanley Trail,,Port Joshuafurt,CO,27847,,(563)592-3754x51522,,adamsgregory@hotmail.com,Generated Invoice,Jeffrey Winters,Credit Card,,Teach,General,1,26.44,26.44,26.44,Latest,,,,,,Winters,Jeffrey
,Invoice,05/24/2023,49277,Jeffrey Winters,"10939 Stanley Trail, Port Joshuafurt, CO 27847",10939 Stanley Trail,,Port Joshuafurt,CO,27847,,(563)592-3754x51522,,adamsgregory@hotmail.com,Generated Invoice,Jeffrey Winters,Credit Card,,Leg,General,5,46.24,231.2,231.2,Latest,,,,,,Winters,Jeffrey
Total Jeffrey Winters,,,,,,,,,,,,,,,,,,,3,,416.14,416.14,,,,,,,,,,
Donna Brown PhD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/18/2023,78689,Donna Brown PhD,"21796 Perez Points Apt. 957, Seanport, DC 21350",21796 Perez Points Apt. 957,,Seanport,DC,21350,,(796)015-9606,,leah92@boyd.net,Generated Invoice,Donna Brown PhD,Credit Card,,Federal,General,3,14.13,42.39,42.39,Latest,,,,,,PhD,Donna
,Invoice,07/29/2017,21143,Donna Brown PhD,"21796 Perez Points Apt. 957, Seanport, DC 21350",21796 Perez Points Apt. 957,,Seanport,DC,21350,,(796)015-9606,,leah92@boyd.net,Generated Invoice,Donna Brown PhD,Credit Card,,Language,General,1,11.27,11.27,11.27,Latest,,,,,,PhD,Donna
,Invoice,05/09/2016,82051,Donna Brown PhD,"21796 Perez Points Apt. 957, Seanport, DC 21350",21796 Perez Points Apt. 957,,Seanport,DC,21350,,(796)015-9606,,leah92@boyd.net,Generated Invoice,Donna Brown PhD,Credit Card,,Push,General,5,41.73,208.65,208.65,Latest,,,,,,PhD,Donna
Total Donna Brown PhD,,,,,,,,,,,,,,,,,,,3,,262.31,262.31,,,,,,,,,,
Brenda Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/14/2024,17458,Brenda Salazar,"925 Reynolds Place Suite 450, Michaelport, WI 99542",925 Reynolds Place Suite 450,,Michaelport,WI,99542,,(883)237-7751x284,,logan55@yahoo.com,Generated Invoice,Brenda Salazar,Credit Card,,Way,General,1,26.37,26.37,26.37,Latest,,,,,,Salazar,Brenda
,Invoice,06/17/2019,43948,Brenda Salazar,"925 Reynolds Place Suite 450, Michaelport, WI 99542",925 Reynolds Place Suite 450,,Michaelport,WI,99542,,(883)237-7751x284,,logan55@yahoo.com,Generated Invoice,Brenda Salazar,Credit Card,,East,General,4,8.88,35.52,35.52,Latest,,,,,,Salazar,Brenda
,Invoice,04/08/2023,30373,Brenda Salazar,"925 Reynolds Place Suite 450, Michaelport, WI 99542",925 Reynolds Place Suite 450,,Michaelport,WI,99542,,(883)237-7751x284,,logan55@yahoo.com,Generated Invoice,Brenda Salazar,Credit Card,,Right,General,2,11.36,22.72,22.72,Latest,,,,,,Salazar,Brenda
Total Brenda Salazar,,,,,,,,,,,,,,,,,,,3,,84.61,84.61,,,,,,,,,,
Dr. James Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,08/25/2020,82128,Dr. James Joseph,"60691 Lisa Curve Apt. 244, Lake Samanthaton, ME 92995",60691 Lisa Curve Apt. 244,,Lake Samanthaton,ME,92995,,364.932.7509x638,,qvaughan@freeman-martin.com,Generated Invoice,Dr. James Joseph,Credit Card,,Break,General,2,8.08,16.16,16.16,Latest,,,,,,Joseph,Dr.
,Invoice,03/31/2017,16183,Dr. James Joseph,"60691 Lisa Curve Apt. 244, Lake Samanthaton, ME 92995",60691 Lisa Curve Apt. 244,,Lake Samanthaton,ME,92995,,364.932.7509x638,,qvaughan@freeman-martin.com,Generated Invoice,Dr. James Joseph,Credit Card,,Democrat,General,2,10.88,21.76,21.76,Latest,,,,,,Joseph,Dr.
,Invoice,07/30/2015,64984,Dr. James Joseph,"60691 Lisa Curve Apt. 244, Lake Samanthaton, ME 92995",60691 Lisa Curve Apt. 244,,Lake Samanthaton,ME,92995,,364.932.7509x638,,qvaughan@freeman-martin.com,Generated Invoice,Dr. James Joseph,Credit Card,,Edge,General,5,39.14,195.7,195.7,Latest,,,,,,Joseph,Dr.
Total Dr. James Joseph,,,,,,,,,,,,,,,,,,,3,,233.62,233.62,,,,,,,,,,
Patrick Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,07/02/2019,69235,Patrick Carter,"6288 Moore Wells, Lake Taylorside, KS 03244",6288 Moore Wells,,Lake Taylorside,KS,03244,,484.868.2470x2695,,opatel@hotmail.com,Generated Invoice,Patrick Carter,Credit Card,,Plant,General,5,23.83,119.15,119.15,Latest,,,,,,Carter,Patrick
,Invoice,09/21/2024,89462,Patrick Carter,"6288 Moore Wells, Lake Taylorside, KS 03244",6288 Moore Wells,,Lake Taylorside,KS,03244,,484.868.2470x2695,,opatel@hotmail.com,Generated Invoice,Patrick Carter,Credit Card,,Risk,General,2,30.89,61.78,61.78,Latest,,,,,,Carter,Patrick
,Invoice,01/17/2023,60789,Patrick Carter,"6288 Moore Wells, Lake Taylorside, KS 03244",6288 Moore Wells,,Lake Taylorside,KS,03244,,484.868.2470x2695,,opatel@hotmail.com,Generated Invoice,Patrick Carter,Credit Card,,Accept,General,1,11.21,11.21,11.21,Latest,,,,,,Carter,Patrick
Total Patrick Carter,,,,,,,,,,,,,,,,,,,3,,192.14000000000001,192.14000000000001,,,,,,,,,,
Jamie Conway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/25/2018,19588,Jamie Conway,"0255 Melissa Shores, West Charles, NC 45858",0255 Melissa Shores,,West Charles,NC,45858,,001-221-017-7412x3515,,tiffanyhenderson@yahoo.com,Generated Invoice,Jamie Conway,Credit Card,,Success,General,2,39.73,79.46,79.46,Latest,,,,,,Conway,Jamie
,Invoice,05/05/2019,31343,Jamie Conway,"0255 Melissa Shores, West Charles, NC 45858",0255 Melissa Shores,,West Charles,NC,45858,,001-221-017-7412x3515,,tiffanyhenderson@yahoo.com,Generated Invoice,Jamie Conway,Credit Card,,Market,General,1,40.37,40.37,40.37,Latest,,,,,,Conway,Jamie
,Invoice,03/10/2020,33003,Jamie Conway,"0255 Melissa Shores, West Charles, NC 45858",0255 Melissa Shores,,West Charles,NC,45858,,001-221-017-7412x3515,,tiffanyhenderson@yahoo.com,Generated Invoice,Jamie Conway,Credit Card,,Avoid,General,2,28.52,57.04,57.04,Latest,,,,,,Conway,Jamie
Total Jamie Conway,,,,,,,,,,,,,,,,,,,3,,176.86999999999998,176.86999999999998,,,,,,,,,,
Kenneth Wyatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/23/2018,47044,Kenneth Wyatt,"887 Blake Villages Suite 285, North David, FL 50848",887 Blake Villages Suite 285,,North David,FL,50848,,1703026074,,quinnnorma@hall-thomas.info,Generated Invoice,Kenneth Wyatt,Credit Card,,Meet,General,2,17.16,34.32,34.32,Latest,,,,,,Wyatt,Kenneth
,Invoice,12/24/2024,92721,Kenneth Wyatt,"887 Blake Villages Suite 285, North David, FL 50848",887 Blake Villages Suite 285,,North David,FL,50848,,1703026074,,quinnnorma@hall-thomas.info,Generated Invoice,Kenneth Wyatt,Credit Card,,Career,General,2,29.51,59.02,59.02,Latest,,,,,,Wyatt,Kenneth
,Invoice,01/04/2022,20724,Kenneth Wyatt,"887 Blake Villages Suite 285, North David, FL 50848",887 Blake Villages Suite 285,,North David,FL,50848,,1703026074,,quinnnorma@hall-thomas.info,Generated Invoice,Kenneth Wyatt,Credit Card,,Note,General,1,31.84,31.84,31.84,Latest,,,,,,Wyatt,Kenneth
Total Kenneth Wyatt,,,,,,,,,,,,,,,,,,,3,,125.18,125.18,,,,,,,,,,
James Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/14/2019,80585,James Rodriguez,"2901 Barbara Ports, Port Jasonfort, LA 62984",2901 Barbara Ports,,Port Jasonfort,LA,62984,,001-988-711-0364x6549,,donna55@yahoo.com,Generated Invoice,James Rodriguez,Credit Card,,Sort,General,5,49.23,246.15,246.15,Latest,,,,,,Rodriguez,James
,Invoice,07/17/2016,24009,James Rodriguez,"2901 Barbara Ports, Port Jasonfort, LA 62984",2901 Barbara Ports,,Port Jasonfort,LA,62984,,001-988-711-0364x6549,,donna55@yahoo.com,Generated Invoice,James Rodriguez,Credit Card,,Maintain,General,3,16.36,49.08,49.08,Latest,,,,,,Rodriguez,James
,Invoice,02/06/2020,99512,James Rodriguez,"2901 Barbara Ports, Port Jasonfort, LA 62984",2901 Barbara Ports,,Port Jasonfort,LA,62984,,001-988-711-0364x6549,,donna55@yahoo.com,Generated Invoice,James Rodriguez,Credit Card,,Floor,General,5,26.13,130.65,130.65,Latest,,,,,,Rodriguez,James
Total James Rodriguez,,,,,,,,,,,,,,,,,,,3,,425.88,425.88,,,,,,,,,,
Brian Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/01/2019,31666,Brian Perez,"874 Gregory Stravenue, North Samantha, MA 03254",874 Gregory Stravenue,,North Samantha,MA,03254,,+1-869-835-5372x872,,georgeaaron@gmail.com,Generated Invoice,Brian Perez,Credit Card,,Small,General,1,35.18,35.18,35.18,Latest,,,,,,Perez,Brian
,Invoice,01/20/2016,82225,Brian Perez,"874 Gregory Stravenue, North Samantha, MA 03254",874 Gregory Stravenue,,North Samantha,MA,03254,,+1-869-835-5372x872,,georgeaaron@gmail.com,Generated Invoice,Brian Perez,Credit Card,,Address,General,1,43.4,43.4,43.4,Latest,,,,,,Perez,Brian
,Invoice,05/14/2017,10266,Brian Perez,"874 Gregory Stravenue, North Samantha, MA 03254",874 Gregory Stravenue,,North Samantha,MA,03254,,+1-869-835-5372x872,,georgeaaron@gmail.com,Generated Invoice,Brian Perez,Credit Card,,Nearly,General,4,41.41,165.64,165.64,Latest,,,,,,Perez,Brian
Total Brian Perez,,,,,,,,,,,,,,,,,,,3,,244.21999999999997,244.21999999999997,,,,,,,,,,
Elizabeth Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/19/2024,60934,Elizabeth Brown,"40627 Robert Locks Suite 377, Wilsonton, ID 49893",40627 Robert Locks Suite 377,,Wilsonton,ID,49893,,538-743-4561,,bauerbrandon@cox.net,Generated Invoice,Elizabeth Brown,Credit Card,,Soldier,General,5,5.46,27.3,27.3,Latest,,,,,,Brown,Elizabeth
,Invoice,12/09/2020,79046,Elizabeth Brown,"40627 Robert Locks Suite 377, Wilsonton, ID 49893",40627 Robert Locks Suite 377,,Wilsonton,ID,49893,,538-743-4561,,bauerbrandon@cox.net,Generated Invoice,Elizabeth Brown,Credit Card,,Include,General,2,13.18,26.36,26.36,Latest,,,,,,Brown,Elizabeth
,Invoice,07/14/2021,38323,Elizabeth Brown,"40627 Robert Locks Suite 377, Wilsonton, ID 49893",40627 Robert Locks Suite 377,,Wilsonton,ID,49893,,538-743-4561,,bauerbrandon@cox.net,Generated Invoice,Elizabeth Brown,Credit Card,,Only,General,3,48.81,146.43,146.43,Latest,,,,,,Brown,Elizabeth
Total Elizabeth Brown,,,,,,,,,,,,,,,,,,,3,,200.09,200.09,,,,,,,,,,
Jeffery Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,10/23/2018,18589,Jeffery Smith,"44946 Blackwell Cove, Lake Megan, MT 04890",44946 Blackwell Cove,,Lake Megan,MT,04890,,498-793-8147,,omartin@dixon-silva.biz,Generated Invoice,Jeffery Smith,Credit Card,,Source,General,3,8.72,26.16,26.16,Latest,,,,,,Smith,Jeffery
,Invoice,04/27/2021,40294,Jeffery Smith,"44946 Blackwell Cove, Lake Megan, MT 04890",44946 Blackwell Cove,,Lake Megan,MT,04890,,498-793-8147,,omartin@dixon-silva.biz,Generated Invoice,Jeffery Smith,Credit Card,,Record,General,1,49.11,49.11,49.11,Latest,,,,,,Smith,Jeffery
,Invoice,01/26/2022,57513,Jeffery Smith,"44946 Blackwell Cove, Lake Megan, MT 04890",44946 Blackwell Cove,,Lake Megan,MT,04890,,498-793-8147,,omartin@dixon-silva.biz,Generated Invoice,Jeffery Smith,Credit Card,,Kitchen,General,4,43.81,175.24,175.24,Latest,,,,,,Smith,Jeffery
Total Jeffery Smith,,,,,,,,,,,,,,,,,,,3,,250.51,250.51,,,,,,,,,,
Makayla Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/15/2019,74055,Makayla Hunter,"6895 Lonnie Fork, Velazquezport, WV 92605",6895 Lonnie Fork,,Velazquezport,WV,92605,,+1-882-294-0979x3635,,robbinstimothy@gmail.com,Generated Invoice,Makayla Hunter,Credit Card,,Family,General,1,8.7,8.7,8.7,Latest,,,,,,Hunter,Makayla
,Invoice,08/27/2021,67757,Makayla Hunter,"6895 Lonnie Fork, Velazquezport, WV 92605",6895 Lonnie Fork,,Velazquezport,WV,92605,,+1-882-294-0979x3635,,robbinstimothy@gmail.com,Generated Invoice,Makayla Hunter,Credit Card,,Friend,General,5,24.3,121.5,121.5,Latest,,,,,,Hunter,Makayla
,Invoice,12/27/2022,30118,Makayla Hunter,"6895 Lonnie Fork, Velazquezport, WV 92605",6895 Lonnie Fork,,Velazquezport,WV,92605,,+1-882-294-0979x3635,,robbinstimothy@gmail.com,Generated Invoice,Makayla Hunter,Credit Card,,Others,General,4,46.5,186.0,186.0,Latest,,,,,,Hunter,Makayla
Total Makayla Hunter,,,,,,,,,,,,,,,,,,,3,,316.2,316.2,,,,,,,,,,
Kathleen Pugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,10/14/2019,36221,Kathleen Pugh,"571 Perez Union Apt. 274, Jefferyshire, CT 89720",571 Perez Union Apt. 274,,Jefferyshire,CT,89720,,816.615.9537,,andersonlaura@gmail.com,Generated Invoice,Kathleen Pugh,Credit Card,,Data,General,5,44.19,220.95,220.95,Latest,,,,,,Pugh,Kathleen
,Invoice,08/14/2024,30497,Kathleen Pugh,"571 Perez Union Apt. 274, Jefferyshire, CT 89720",571 Perez Union Apt. 274,,Jefferyshire,CT,89720,,816.615.9537,,andersonlaura@gmail.com,Generated Invoice,Kathleen Pugh,Credit Card,,Operation,General,5,8.35,41.75,41.75,Latest,,,,,,Pugh,Kathleen
,Invoice,07/22/2016,84582,Kathleen Pugh,"571 Perez Union Apt. 274, Jefferyshire, CT 89720",571 Perez Union Apt. 274,,Jefferyshire,CT,89720,,816.615.9537,,andersonlaura@gmail.com,Generated Invoice,Kathleen Pugh,Credit Card,,Organization,General,1,16.83,16.83,16.83,Latest,,,,,,Pugh,Kathleen
Total Kathleen Pugh,,,,,,,,,,,,,,,,,,,3,,279.53,279.53,,,,,,,,,,
Matthew Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,09/17/2024,85482,Matthew Gill,"382 Aaron Stream Suite 769, East Carlaville, WY 40126",382 Aaron Stream Suite 769,,East Carlaville,WY,40126,,244-137-7367,,waltermoore@christensen.com,Generated Invoice,Matthew Gill,Credit Card,,Less,General,1,17.52,17.52,17.52,Latest,,,,,,Gill,Matthew
,Invoice,08/03/2015,70430,Matthew Gill,"382 Aaron Stream Suite 769, East Carlaville, WY 40126",382 Aaron Stream Suite 769,,East Carlaville,WY,40126,,244-137-7367,,waltermoore@christensen.com,Generated Invoice,Matthew Gill,Credit Card,,Field,General,2,37.09,74.18,74.18,Latest,,,,,,Gill,Matthew
,Invoice,01/21/2023,75817,Matthew Gill,"382 Aaron Stream Suite 769, East Carlaville, WY 40126",382 Aaron Stream Suite 769,,East Carlaville,WY,40126,,244-137-7367,,waltermoore@christensen.com,Generated Invoice,Matthew Gill,Credit Card,,Whose,General,2,21.98,43.96,43.96,Latest,,,,,,Gill,Matthew
Total Matthew Gill,,,,,,,,,,,,,,,,,,,3,,135.66,135.66,,,,,,,,,,
Deborah Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,12/18/2015,64094,Deborah Jones,"8610 Amber Street, Alexandertown, NV 59423",8610 Amber Street,,Alexandertown,NV,59423,,001-605-499-9565x518,,sharonfranklin@hotmail.com,Generated Invoice,Deborah Jones,Credit Card,,Source,General,1,35.98,35.98,35.98,Latest,,,,,,Jones,Deborah
,Invoice,08/21/2022,20156,Deborah Jones,"8610 Amber Street, Alexandertown, NV 59423",8610 Amber Street,,Alexandertown,NV,59423,,001-605-499-9565x518,,sharonfranklin@hotmail.com,Generated Invoice,Deborah Jones,Credit Card,,Art,General,4,13.32,53.28,53.28,Latest,,,,,,Jones,Deborah
,Invoice,11/19/2017,90412,Deborah Jones,"8610 Amber Street, Alexandertown, NV 59423",8610 Amber Street,,Alexandertown,NV,59423,,001-605-499-9565x518,,sharonfranklin@hotmail.com,Generated Invoice,Deborah Jones,Credit Card,,Matter,General,4,25.58,102.32,102.32,Latest,,,,,,Jones,Deborah
Total Deborah Jones,,,,,,,,,,,,,,,,,,,3,,191.57999999999998,191.57999999999998,,,,,,,,,,
Cassandra Zimmerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/05/2024,56172,Cassandra Zimmerman,"472 Laura Points Suite 620, Johnsonfurt, PA 58415",472 Laura Points Suite 620,,Johnsonfurt,PA,58415,,810.598.9889,,georgewendy@yahoo.com,Generated Invoice,Cassandra Zimmerman,Credit Card,,Owner,General,4,34.76,139.04,139.04,Latest,,,,,,Zimmerman,Cassandra
,Invoice,08/22/2024,64822,Cassandra Zimmerman,"472 Laura Points Suite 620, Johnsonfurt, PA 58415",472 Laura Points Suite 620,,Johnsonfurt,PA,58415,,810.598.9889,,georgewendy@yahoo.com,Generated Invoice,Cassandra Zimmerman,Credit Card,,We,General,1,45.82,45.82,45.82,Latest,,,,,,Zimmerman,Cassandra
,Invoice,03/07/2023,89252,Cassandra Zimmerman,"472 Laura Points Suite 620, Johnsonfurt, PA 58415",472 Laura Points Suite 620,,Johnsonfurt,PA,58415,,810.598.9889,,georgewendy@yahoo.com,Generated Invoice,Cassandra Zimmerman,Credit Card,,Picture,General,5,45.01,225.05,225.05,Latest,,,,,,Zimmerman,Cassandra
Total Cassandra Zimmerman,,,,,,,,,,,,,,,,,,,3,,409.90999999999997,409.90999999999997,,,,,,,,,,
Cory Meyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/03/2023,29389,Cory Meyer,"485 Grant Square Suite 087, West Nicole, MO 29482",485 Grant Square Suite 087,,West Nicole,MO,29482,,858-671-8417x798,,brucelopez@hotmail.com,Generated Invoice,Cory Meyer,Credit Card,,New,General,4,44.26,177.04,177.04,Latest,,,,,,Meyer,Cory
,Invoice,10/09/2018,94366,Cory Meyer,"485 Grant Square Suite 087, West Nicole, MO 29482",485 Grant Square Suite 087,,West Nicole,MO,29482,,858-671-8417x798,,brucelopez@hotmail.com,Generated Invoice,Cory Meyer,Credit Card,,Create,General,1,49.22,49.22,49.22,Latest,,,,,,Meyer,Cory
,Invoice,07/09/2019,71856,Cory Meyer,"485 Grant Square Suite 087, West Nicole, MO 29482",485 Grant Square Suite 087,,West Nicole,MO,29482,,858-671-8417x798,,brucelopez@hotmail.com,Generated Invoice,Cory Meyer,Credit Card,,Key,General,5,6.66,33.3,33.3,Latest,,,,,,Meyer,Cory
Total Cory Meyer,,,,,,,,,,,,,,,,,,,3,,259.56,259.56,,,,,,,,,,
Jennifer Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,04/15/2021,60259,Jennifer Davis,"62738 Alison Port, South Tylerside, WA 48312",62738 Alison Port,,South Tylerside,WA,48312,,(931)131-2810x9640,,patricklivingston@bryant.com,Generated Invoice,Jennifer Davis,Credit Card,,Long,General,5,39.61,198.05,198.05,Latest,,,,,,Davis,Jennifer
,Invoice,11/06/2021,73332,Jennifer Davis,"62738 Alison Port, South Tylerside, WA 48312",62738 Alison Port,,South Tylerside,WA,48312,,(931)131-2810x9640,,patricklivingston@bryant.com,Generated Invoice,Jennifer Davis,Credit Card,,Wonder,General,5,24.08,120.4,120.4,Latest,,,,,,Davis,Jennifer
,Invoice,06/04/2023,66424,Jennifer Davis,"62738 Alison Port, South Tylerside, WA 48312",62738 Alison Port,,South Tylerside,WA,48312,,(931)131-2810x9640,,patricklivingston@bryant.com,Generated Invoice,Jennifer Davis,Credit Card,,Whether,General,1,8.34,8.34,8.34,Latest,,,,,,Davis,Jennifer
Total Jennifer Davis,,,,,,,,,,,,,,,,,,,3,,326.79,326.79,,,,,,,,,,
Alison Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,11/05/2018,52698,Alison Tucker,"02944 Andrew Crossroad, Lewiston, MT 68247",02944 Andrew Crossroad,,Lewiston,MT,68247,,868.014.1901x80900,,mabbott@brady-johnson.info,Generated Invoice,Alison Tucker,Credit Card,,My,General,5,42.73,213.65,213.65,Latest,,,,,,Tucker,Alison
,Invoice,01/07/2023,62963,Alison Tucker,"02944 Andrew Crossroad, Lewiston, MT 68247",02944 Andrew Crossroad,,Lewiston,MT,68247,,868.014.1901x80900,,mabbott@brady-johnson.info,Generated Invoice,Alison Tucker,Credit Card,,Establish,General,2,13.87,27.74,27.74,Latest,,,,,,Tucker,Alison
,Invoice,12/22/2024,50899,Alison Tucker,"02944 Andrew Crossroad, Lewiston, MT 68247",02944 Andrew Crossroad,,Lewiston,MT,68247,,868.014.1901x80900,,mabbott@brady-johnson.info,Generated Invoice,Alison Tucker,Credit Card,,Second,General,2,43.85,87.7,87.7,Latest,,,,,,Tucker,Alison
Total Alison Tucker,,,,,,,,,,,,,,,,,,,3,,329.09000000000003,329.09000000000003,,,,,,,,,,
Matthew Cline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Invoice,02/02/2024,52035,Matthew Cline,"939 Morgan Summit, East Jennifer, NM 05713",939 Morgan Summit,,East Jennifer,NM,05713,,001-797-286-2782x215,,dunntheresa@gmail.com,Generated Invoice,Matthew Cline,Credit Card,,Street,General,4,9.23,36.92,36.92,Latest,,,,,,Cline,Matthew
,Invoice,05/28/2022,82822,Matthew Cline,"939 Morgan Summit, East Jennifer, NM 05713",939 Morgan Summit,,East Jennifer,NM,05713,,001-797-286-2782x215,,dunntheresa@gmail.com,Generated Invoice,Matthew Cline,Credit Card,,Wall,General,5,23.2,116.0,116.0,Latest,,,,,,Cline,Matthew
